股票代码,股票简称,现价(元),涨跌幅(%)
600519.SH,贵州茅台,441.78,0.22
300628.SZ,亿联网络,299.01,-3.94
603444.SH,吉比特,254.09,-3.31
300613.SZ,富瀚微,164.00,-4.01
300571.SZ,平治信息,150.70,-3.15
002821.SZ,凯莱英,136.08,-3.47
300616.SZ,尚品宅配,127.00,-2.53
603579.SH,荣泰健康,120.78,-3.28
000661.SZ,长春高新,115.39,0.48
300577.SZ,开润股份,109.59,6.41
603833.SH,欧派家居,109.37,-1.61
300595.SZ,欧普康视,101.40,-5.76
300642.SZ,透景生命,100.90,-1.85
300531.SZ,优博讯,97.70,-6.15
603716.SH,塞力斯,96.53,-3.24
603986.SH,兆易创新,94.83,-2.48
603160.SH,汇顶科技,94.61,-1.49
000963.SZ,华东医药,93.50,-0.09
300607.SZ,拓斯达,91.80,-7.64
000538.SZ,云南白药,90.08,0.70
300533.SZ,冰川网络,89.05,-4.34
300567.SZ,精测电子,89.00,-8.36
300522.SZ,世名科技,88.96,-0.59
300502.SZ,新易盛,86.72,-6.80
002850.SZ,科达利,86.21,-1.83
300581.SZ,晨曦航空,85.95,-5.76
002304.SZ,洋河股份,83.50,0.97
002729.SZ,好利来,81.99,-1.22
002852.SZ,道道全,81.84,-7.42
603888.SH,新华网,81.74,-4.34
603429.SH,集友股份,81.39,-1.01
300507.SZ,苏奥传感,80.24,-4.74
000028.SZ,国药一致,76.50,0.72
603729.SH,龙韵股份,75.89,-0.60
300508.SZ,维宏股份,75.05,-3.70
300523.SZ,辰安科技,75.00,-2.15
300618.SZ,寒锐钴业,74.97,-10.00
000710.SZ,*ST天仪,73.61,5.01
002859.SZ,洁美科技,73.20,-2.98
603858.SH,步长制药,72.19,-2.88
300617.SZ,安靠智电,71.00,-6.68
002777.SZ,久远银海,70.00,0.07
002783.SZ,凯龙股份,69.70,-4.52
603040.SH,新坐标,68.93,-5.92
300482.SZ,万孚生物,68.30,-7.91
603180.SH,金牌厨柜,68.01,5.31
002831.SZ,裕同科技,67.80,-2.21
300484.SZ,蓝海华腾,67.79,-1.68
000423.SZ,东阿阿胶,67.67,0.84
002853.SZ,皮阿诺,67.30,-7.43
300569.SZ,天能重工,67.10,-6.82
300545.SZ,联得装备,66.77,-2.77
300176.SZ,鸿特精密,66.33,10.00
002749.SZ,国光股份,66.04,-1.73
603737.SH,三棵树,65.05,-0.84
300547.SZ,川环科技,64.91,-4.12
603988.SH,中电电机,64.78,-0.19
300516.SZ,久之洋,64.55,-4.92
300623.SZ,捷捷微电,64.55,-10.00
300519.SZ,新光药业,64.29,-5.71
603039.SH,泛微网络,63.82,-8.17
002841.SZ,视源股份,63.30,-8.92
300560.SZ,中富通,63.30,-3.67
300590.SZ,移为通信,63.27,-4.94
603078.SH,江化微,62.64,-6.70
300553.SZ,集智股份,62.52,-6.41
002845.SZ,同兴达,62.30,-9.10
603903.SH,中持股份,62.18,1.78
002838.SZ,道恩股份,62.00,-2.64
000513.SZ,丽珠集团,61.48,-0.68
300600.SZ,瑞特股份,60.58,-10.00
603232.SH,格尔软件,60.41,-10.00
002837.SZ,英维克,60.29,-10.00
300457.SZ,赢合科技,60.20,-1.59
600990.SH,四创电子,60.15,-0.05
300033.SZ,同花顺,60.11,-0.23
002830.SZ,名雕股份,60.00,-3.85
002718.SZ,友邦吊顶,59.96,-1.37
600276.SH,恒瑞医药,59.32,1.01
603165.SH,荣晟环保,58.69,-0.05
300294.SZ,博雅生物,58.60,0.77
300566.SZ,激智科技,58.45,-8.26
300549.SZ,优德精密,58.20,-4.87
603338.SH,浙江鼎力,58.03,-0.67
002802.SZ,洪汇新材,57.81,-3.65
002647.SZ,民盛金科,57.40,-0.09
002315.SZ,焦点科技,57.28,-0.99
002558.SZ,世纪游轮,57.21,0.05
002832.SZ,比音勒芬,57.19,-2.72
300488.SZ,恒锋工具,57.06,-3.71
603881.SH,数据港,56.99,-3.49
000049.SZ,德赛电池,56.64,0.25
300548.SZ,博创科技,56.05,-3.16
600436.SH,片仔癀,55.96,1.51
300558.SZ,贝达药业,55.90,-2.10
300561.SZ,汇金科技,55.61,-4.27
002739.SZ,万达电影,55.10,1.75
600892.SH,大晟文化,54.87,-10.01
603798.SH,康普顿,54.67,-3.92
002858.SZ,力盛赛车,54.63,-10.00
300535.SZ,达威股份,54.45,-10.00
601888.SH,中国国旅,54.43,0.42
300575.SZ,中旗股份,54.40,-5.88
603626.SH,科森科技,54.31,-3.98
300557.SZ,理工光科,53.89,-5.34
603868.SH,飞科电器,53.73,1.65
603355.SH,莱克电气,53.65,0.88
603585.SH,苏利股份,53.61,-4.78
603368.SH,柳州医药,53.20,-1.13
300520.SZ,科大国创,53.09,-7.59
603508.SH,思维列控,52.98,-3.81
603985.SH,恒润股份,52.73,-6.82
002846.SZ,英联股份,52.55,-2.47
002352.SZ,顺丰控股,52.48,-0.76
300583.SZ,赛托生物,52.45,-4.57
300393.SZ,中来股份,52.11,0.00
000938.SZ,紫光股份,52.04,-1.83
002771.SZ,真视通,52.03,-6.24
603138.SH,海量数据,52.00,-8.11
002793.SZ,东音股份,51.89,-6.92
002833.SZ,弘亚数控,51.86,-5.68
300458.SZ,全志科技,51.82,-3.45
002034.SZ,美欣达,51.60,-1.53
300424.SZ,航新科技,51.58,-1.28
603203.SH,快克股份,51.41,-6.10
300554.SZ,三超新材,51.10,-7.09
603037.SH,凯众股份,50.98,-4.96
603908.SH,牧高笛,50.93,-9.78
603677.SH,奇精机械,50.87,-7.79
300627.SZ,华测导航,50.60,-3.45
002869.SZ,金溢科技,50.56,10.01
603639.SH,海利尔,50.49,-4.63
603816.SH,顾家家居,50.34,-4.10
603416.SH,信捷电气,50.31,-5.20
603131.SH,上海沪工,50.27,-4.52
300497.SZ,富祥股份,50.14,-3.28
002847.SZ,盐津铺子,50.12,-7.87
300525.SZ,博思软件,50.09,-7.12
300585.SZ,奥联电子,49.95,-5.74
601336.SH,新华保险,49.95,3.93
603656.SH,泰禾光电,49.92,-7.01
300648.SZ,星云股份,49.91,-9.32
603358.SH,华达科技,49.77,-4.64
300579.SZ,数字认证,49.75,-2.49
300538.SZ,同益股份,49.20,-6.39
603330.SH,上海天洋,49.19,-5.48
300266.SZ,兴源环境,49.10,-0.67
603050.SH,科林电气,49.10,-1.78
603038.SH,华立股份,49.06,-5.87
002843.SZ,泰嘉股份,49.04,-3.84
603007.SH,花王股份,48.91,-9.41
000915.SZ,山大华特,48.79,1.86
600211.SH,西藏药业,48.76,-1.48
300611.SZ,美力科技,48.74,-9.99
300521.SZ,爱司凯,48.69,-1.66
603208.SH,江山欧派,48.68,-5.77
603603.SH,博天环境,48.67,-3.28
002860.SZ,星帅尔,48.56,-10.01
000596.SZ,古井贡酒,48.47,-1.40
002594.SZ,比亚迪,48.39,-0.33
603322.SH,超讯通信,48.29,-9.35
300530.SZ,达志科技,48.02,-3.96
300629.SZ,新劲刚,47.85,-9.34
002789.SZ,建艺集团,47.69,-5.56
002032.SZ,苏泊尔,47.58,-0.88
000568.SZ,泸州老窖,47.38,0.34
000858.SZ,五粮液,47.13,0.11
300473.SZ,德尔股份,46.90,-5.27
300555.SZ,路通视信,46.70,-7.76
600452.SH,涪陵电力,46.56,-1.50
603009.SH,北特科技,46.39,5.00
300602.SZ,飞荣达,46.31,-9.13
300631.SZ,久吾高科,46.02,-6.35
600563.SH,法拉电子,45.97,-0.69
300340.SZ,科恒股份,45.87,-2.32
000418.SZ,小天鹅A,45.80,-1.06
300513.SZ,恒泰实达,45.78,-9.13
600161.SH,天坛生物,45.63,1.54
300501.SZ,海顺新材,45.50,-7.33
600137.SH,浪莎股份,45.47,-0.22
603556.SH,海兴电力,45.47,0.38
300468.SZ,四方精创,45.36,-3.84
300619.SZ,金银河,45.07,-10.00
600419.SH,天润乳业,44.83,-4.29
603228.SH,景旺电子,44.77,-3.62
002466.SZ,天齐锂业,44.72,0.07
300550.SZ,和仁科技,44.71,-7.14
300436.SZ,广生堂,44.60,-5.09
002773.SZ,康弘药业,44.20,0.91
002120.SZ,韵达股份,44.17,-4.12
600038.SH,中直股份,44.17,-1.10
603822.SH,嘉澳环保,44.06,-9.53
300492.SZ,山鼎设计,44.05,-0.32
300639.SZ,凯普生物,44.03,-6.40
300651.SZ,金陵体育,43.88,3.69
300572.SZ,安车检测,43.80,-6.57
002805.SZ,丰元股份,43.66,-0.55
300608.SZ,思特奇,43.40,-6.93
002801.SZ,微光股份,43.39,-8.75
603883.SH,老百姓,43.32,-1.19
002871.SZ,伟隆股份,43.20,10.01
603393.SH,新天然气,43.08,-5.38
603085.SH,天成自控,43.01,-3.46
002761.SZ,多喜爱,43.00,-8.30
002823.SZ,凯中精密,42.99,-8.53
603799.SH,华友钴业,42.99,-4.93
600612.SH,老凤祥,42.92,0.54
601318.SH,中国平安,42.84,4.46
603096.SH,新经典,42.81,-8.00
300559.SZ,佳发安泰,42.80,-8.06
603955.SH,大千生态,42.57,-7.52
300650.SZ,太龙照明,42.43,-6.79
603960.SH,克来机电,42.40,-7.20
002366.SZ,台海核电,42.24,-1.65
002383.SZ,合众思壮,42.22,-2.72
300578.SZ,会畅通讯,42.18,-8.46
603637.SH,镇海股份,42.12,-3.86
603032.SH,德新交运,42.05,-1.57
300604.SZ,长川科技,41.99,-6.69
601799.SH,星宇股份,41.74,0.07
600455.SH,博通股份,41.73,-2.93
300446.SZ,乐凯新材,41.65,-6.24
002460.SZ,赣锋锂业,41.46,-1.33
603066.SH,音飞储存,41.36,-6.34
603179.SH,新泉股份,41.26,-9.99
300563.SZ,神宇股份,41.24,-5.78
